s10x,s10y,s32x,s32y,s100x,s100y,s320x,s320y,s1000x,s1000y,s3200x,s3200y,s10000x,s10000y,s32000x,s32000y
0.211126463307235,-9.09426693610244,0.248086069296317,-2.52197235245512,0.249577290822273,3.27345891600213,0.25343013645447,5.1368118240827,0.251370960638577,5.66012719618766,0.251348911951598,5.91607975017803,0.251335683667728,6.06965128257225,0.253365260603207,5.88386789369772
0.226914281006874,-9.97968191198097,0.264519226665648,-3.41392655741876,0.272524119664235,2.72267099785169,0.276697971640893,4.93648201831908,0.274433567167127,5.63174500361756,0.274413939400428,5.84044477840971,0.27439196784277,6.07408352000092,0.27660486624301,5.91848940672525
0.246822721226431,-10.9071184364149,0.280928213410717,-4.41256505306606,0.297584759524073,2.13250576370274,0.302103287882609,4.7243390177559,0.299611970762546,5.60467538824742,0.299592024639985,5.79893681384011,0.299563320726731,6.07851575742959,0.301974308530102,5.97037406619527
0.269528750800423,-11.5928392907203,0.298348934084934,-5.35087187527278,0.324963069337812,1.42420858155823,0.329844335905978,4.48463189599376,0.327104679611456,5.53954103407871,0.327076135166634,5.79418101086912,0.327048623033714,6.03963294725989,0.329681057256789,5.92940841502043
0.283904217302077,-11.8785934521597,0.315590317124833,-6.3071702716522,0.35487363976881,0.605654914617874,0.360137603673692,4.2055474582331,0.357124453579149,5.43922961095132,0.357090108978638,5.71985861630076,0.357055896173661,5.99943755989024,0.359927710193818,5.90664750936908
0.362182670227358,-12.3171743347451,0.335154971218588,-7.19752114830358,0.386007201045319,-0.310755961336476,0.393219936979776,3.87527250967436,0.389907424338477,5.27788334802623,0.389857598220605,5.65078653053219,0.389819544545709,5.93561578292148,0.392951192674849,5.87019021075615
0.395360017211536,-11.9622839849296,0.355946288737897,-8.20080054190785,0.416536390669657,-1.23483269513922,0.429349913005592,3.48593158711785,0.425704485834007,5.08424768598235,0.425635552763135,5.55677547796457,0.425585966152388,5.89673297275178,0.429001087239645,5.85755894458547
0.431552078085642,-11.4420089079204,0.379525301438363,-9.10215113285844,0.445907069074049,-2.15305574163086,0.46881414759182,3.00602283776475,0.464781583964355,4.93117065941695,0.464692317745119,5.49164112379586,0.464626685609985,5.90379036458035,0.468361199363061,5.82655159761547
0.471057869587011,-10.925671562511,0.406296278070977,-10.0922794501648,0.475458542384589,-3.13524962909111,0.511911313259778,2.49461223561283,0.507455995539966,4.71902765885377,0.507320420770235,5.49869851562443,0.507272727151204,5.77302715041411,0.511329408936382,5.81337801805003
0.514159343681355,-10.291202269106,0.438404422228439,-10.8452929977921,0.504938190192424,-4.04957847852016,0.558991438565372,1.87294514866507,0.554051594010405,4.49113373189119,0.553875913928122,5.41650065785636,0.553819259639472,5.71498071312513,0.558241174232102,5.79192968959862
0.561190183890932,-9.58191607530385,0.478698932275991,-11.3131260369057,0.534118792903744,-5.0089708068709,0.610425378912787,1.1370838453216,0.604933038317488,4.22780022052993,0.604704093249458,5.33233393428837,0.604632638782461,5.67714796471539,0.60946303194716,5.74086270651043
0.612513078589372,-8.82537710230348,0.522648640732309,-11.5110932037094,0.567251765990201,-6.00683581952537,0.666622446795335,0.267339667583167,0.660494321396359,3.93296485636987,0.660216193391778,5.16193088868362,0.660119590411766,5.58891225182755,0.665380282268668,5.7095700490594
0.668536315883259,-8.09797734314202,0.570549935385253,-11.2822102650892,0.602441353242786,-7.01088869612246,0.725104601743579,-0.642770837811421,0.721185018491979,3.5318107390138,0.720831818837586,4.96120730976001,0.720690846767568,5.53191587629853,0.726436765380874,5.64246682909076
0.729663212086971,-7.28867276670364,0.622774195403478,-10.7383087984808,0.642374672404261,-8.02893781742803,0.779334690651351,-1.5563405946289,0.787457701741626,3.11096796365848,0.787015752915814,4.74906430919683,0.786832034728673,5.43029187597119,0.793102143781955,5.55239350812299
